,X,DOSE,DOSE_UNIT,RECOMP_DOSE
162,3017966015,0,mg/kg,NA
163,3017966014,0,mg/kg,NA
164,3017960001,2000,mg/kg,NA
165,3017959030,2000,mg/kg,NA
166,3017959029,2000,mg/kg,NA
167,3017959028,600,mg/kg,NA
168,3017959027,600,mg/kg,NA
169,3017959026,600,mg/kg,NA
170,3017959025,200,mg/kg,NA
171,3017959024,200,mg/kg,NA
172,3017959023,200,mg/kg,NA
173,3017959022,0,mg/kg,NA
174,3017959021,0,mg/kg,NA
175,3017959020,0,mg/kg,NA
176,3017959019,2000,mg/kg,NA
177,3017959018,2000,mg/kg,NA
178,3017959017,2000,mg/kg,NA
179,3017959016,600,mg/kg,NA
180,3017959015,600,mg/kg,NA
181,3017959014,600,mg/kg,NA
182,3017959013,200,mg/kg,NA
183,3017959012,200,mg/kg,NA
184,3017959011,200,mg/kg,NA
185,3017959010,0,mg/kg,NA
186,3017959009,0,mg/kg,NA
187,3017959008,0,mg/kg,NA
188,3017959007,2000,mg/kg,NA
189,3017959006,2000,mg/kg,NA
190,3017959005,2000,mg/kg,NA
191,3017959004,600,mg/kg,NA
192,3017959003,600,mg/kg,NA
193,3017959002,600,mg/kg,NA
194,3017959001,200,mg/kg,NA
195,3017958030,200,mg/kg,NA
196,3017958029,200,mg/kg,NA
197,3017958028,0,mg/kg,NA
198,3017958027,0,mg/kg,NA
199,3017958026,0,mg/kg,NA
200,3017958025,2000,mg/kg,NA
201,3017958024,2000,mg/kg,NA
202,3017958023,2000,mg/kg,NA
203,3017958022,600,mg/kg,NA
204,3017958021,600,mg/kg,NA
205,3017958020,600,mg/kg,NA
206,3017958019,200,mg/kg,NA
207,3017958018,200,mg/kg,NA
208,3017958017,200,mg/kg,NA
209,3017958016,0,mg/kg,NA
210,3017958015,0,mg/kg,NA
211,3017958014,0,mg/kg,NA
212,3017956014,600,mg/kg,NA
213,3017956013,600,mg/kg,NA
214,3017956012,600,mg/kg,NA
215,3017956011,200,mg/kg,NA
216,3017956010,200,mg/kg,NA
217,3017956009,200,mg/kg,NA
218,3017956008,60,mg/kg,NA
219,3017956007,60,mg/kg,NA
220,3017956006,60,mg/kg,NA
221,3017956005,0,mg/kg,NA
222,3017956004,0,mg/kg,NA
223,3017956003,0,mg/kg,NA
224,3017956002,600,mg/kg,NA
225,3017956001,600,mg/kg,NA
226,3017954030,600,mg/kg,NA
227,3017954029,200,mg/kg,NA
228,3017954028,200,mg/kg,NA
229,3017954027,200,mg/kg,NA
230,3017954026,60,mg/kg,NA
231,3017954025,60,mg/kg,NA
232,3017954024,60,mg/kg,NA
233,3017954023,0,mg/kg,NA
234,3017954022,0,mg/kg,NA
235,3017954021,0,mg/kg,NA
236,3017954020,600,mg/kg,NA
237,3017954019,600,mg/kg,NA
238,3017954018,600,mg/kg,NA
239,3017954017,200,mg/kg,NA
240,3017954016,200,mg/kg,NA
241,3017954015,200,mg/kg,NA
242,3017954014,60,mg/kg,NA
243,3017954013,60,mg/kg,NA
244,3017954012,60,mg/kg,NA
245,3017954011,0,mg/kg,NA
246,3017954010,0,mg/kg,NA
247,3017954009,0,mg/kg,NA
248,3017954008,600,mg/kg,NA
249,3017954007,600,mg/kg,NA
250,3017954006,600,mg/kg,NA
251,3017954005,200,mg/kg,NA
252,3017954004,200,mg/kg,NA
253,3017954003,200,mg/kg,NA
254,3017954002,60,mg/kg,NA
255,3017954001,60,mg/kg,NA
256,3017953030,60,mg/kg,NA
257,3017953029,0,mg/kg,NA
258,3017953028,0,mg/kg,NA
259,3017953027,0,mg/kg,NA
260,3017953002,0.6,mg/kg,NA
261,3017953001,0.6,mg/kg,NA
262,3017952030,0.6,mg/kg,NA
263,3017952029,0.3,mg/kg,NA
264,3017952028,0.3,mg/kg,NA
265,3017952027,0.3,mg/kg,NA
266,3017952026,0.1,mg/kg,NA
267,3017952025,0.1,mg/kg,NA
268,3017952024,0.1,mg/kg,NA
269,3017952023,0,mg/kg,NA
270,3017952022,0,mg/kg,NA
271,3017952021,0,mg/kg,NA
272,3017952020,0.6,mg/kg,NA
273,3017952019,0.6,mg/kg,NA
274,3017952018,0.6,mg/kg,NA
275,3017952017,0.3,mg/kg,NA
276,3017952016,0.3,mg/kg,NA
277,3017952015,0.3,mg/kg,NA
278,3017952014,0.1,mg/kg,NA
279,3017952013,0.1,mg/kg,NA
280,3017952012,0.1,mg/kg,NA
281,3017952011,0,mg/kg,NA
282,3017952010,0,mg/kg,NA
283,3017952009,0,mg/kg,NA
284,3017951026,0.6,mg/kg,NA
285,3017951025,0.6,mg/kg,NA
286,3017951024,0.6,mg/kg,NA
287,3017951023,0.3,mg/kg,NA
288,3017951022,0.3,mg/kg,NA
289,3017951021,0.3,mg/kg,NA
290,3017951020,0.1,mg/kg,NA
291,3017951019,0.1,mg/kg,NA
292,3017951018,0.1,mg/kg,NA
293,3017951017,0,mg/kg,NA
294,3017951016,0,mg/kg,NA
295,3017951015,0,mg/kg,NA
296,3017951014,0.6,mg/kg,NA
297,3017951013,0.6,mg/kg,NA
298,3017951012,0.6,mg/kg,NA
299,3017951011,0.3,mg/kg,NA
300,3017951010,0.3,mg/kg,NA
301,3017951009,0.3,mg/kg,NA
302,3017951008,0.1,mg/kg,NA
303,3017951007,0.1,mg/kg,NA
304,3017951006,0.1,mg/kg,NA
305,3017951005,0,mg/kg,NA
306,3017951004,0,mg/kg,NA
307,3017951003,0,mg/kg,NA
308,3017951002,2000,fEg/kg,NA
309,3017951001,2000,fEg/kg,NA
310,3017950030,2000,fEg/kg,NA
311,3017950029,200,fEg/kg,NA
312,3017950028,200,fEg/kg,NA
313,3017950027,200,fEg/kg,NA
314,3017950026,20,fEg/kg,NA
315,3017950025,20,fEg/kg,NA
316,3017950024,20,fEg/kg,NA
317,3017950023,0,fEg/kg,NA
318,3017950022,0,fEg/kg,NA
319,3017950021,0,fEg/kg,NA
320,3017950020,2000,fEg/kg,NA
321,3017950019,2000,fEg/kg,NA
322,3017950018,2000,fEg/kg,NA
323,3017950017,200,fEg/kg,NA
324,3017950016,200,fEg/kg,NA
325,3017950015,200,fEg/kg,NA
326,3017950014,20,fEg/kg,NA
327,3017950013,20,fEg/kg,NA
328,3017950012,20,fEg/kg,NA
329,3017950011,0,fEg/kg,NA
330,3017950010,0,fEg/kg,NA
331,3017950009,0,fEg/kg,NA
332,3017950008,2000,fEg/kg,NA
333,3017950007,2000,fEg/kg,NA
334,3017950006,2000,fEg/kg,NA
335,3017950005,200,fEg/kg,NA
336,3017950004,200,fEg/kg,NA
337,3017950003,200,fEg/kg,NA
338,3017950002,20,fEg/kg,NA
339,3017950001,20,fEg/kg,NA
340,3017949030,20,fEg/kg,NA
341,3017949029,0,fEg/kg,NA
342,3017949028,0,fEg/kg,NA
343,3017949027,0,fEg/kg,NA
344,3017949026,2000,fEg/kg,NA
345,3017949025,2000,fEg/kg,NA
346,3017949024,2000,fEg/kg,NA
347,3017949023,200,fEg/kg,NA
348,3017949022,200,fEg/kg,NA
349,3017949021,200,fEg/kg,NA
350,3017949020,20,fEg/kg,NA
351,3017949019,20,fEg/kg,NA
352,3017949018,20,fEg/kg,NA
353,3017949017,0,fEg/kg,NA
354,3017949016,0,fEg/kg,NA
355,3017949015,0,fEg/kg,NA
356,3017929013,2000,fEg/kg,NA
357,3017929012,2000,fEg/kg,NA
358,3017929011,2000,fEg/kg,NA
359,3017929010,200,fEg/kg,NA
360,3017929009,200,fEg/kg,NA
361,3017929008,200,fEg/kg,NA
362,3017929007,20,fEg/kg,NA
363,3017929006,20,fEg/kg,NA
364,3017929005,20,fEg/kg,NA
365,3017929004,0,fEg/kg,NA
366,3017929003,0,fEg/kg,NA
367,3017929002,0,fEg/kg,NA
368,3017925013,150,mg/kg,NA
369,3017925012,150,mg/kg,NA
370,3017925011,150,mg/kg,NA
371,3017925010,50,mg/kg,NA
372,3017925009,50,mg/kg,NA
373,3017925008,50,mg/kg,NA
374,3017925007,15,mg/kg,NA
375,3017925006,15,mg/kg,NA
376,3017925005,15,mg/kg,NA
377,3017925004,0,mg/kg,NA
378,3017925003,0,mg/kg,NA
379,3017925002,0,mg/kg,NA
380,3017924019,2000,fEg/kg,NA
381,3017924018,2000,fEg/kg,NA
382,3017924017,2000,fEg/kg,NA
383,3017924016,200,fEg/kg,NA
384,3017924015,200,fEg/kg,NA
385,3017924014,200,fEg/kg,NA
386,3017924013,20,fEg/kg,NA
387,3017924012,20,fEg/kg,NA
388,3017924011,20,fEg/kg,NA
389,3017924010,0,fEg/kg,NA
390,3017924009,0,fEg/kg,NA
391,3017924008,0,fEg/kg,NA
392,3017923005,70,fEg/kg,NA
393,3017923004,70,fEg/kg,NA
394,3017923001,0,fEg/kg,NA
395,3017922007,2000,mg/kg,NA
396,3017922006,2000,mg/kg,NA
397,3017922005,2000,mg/kg,NA
398,3017922004,1000,mg/kg,NA
399,3017922003,1000,mg/kg,NA
400,3017922002,1000,mg/kg,NA
401,3017922001,300,mg/kg,NA
402,3017921030,300,mg/kg,NA
403,3017921029,300,mg/kg,NA
404,3017921028,0,mg/kg,NA
405,3017921027,0,mg/kg,NA
406,3017921026,0,mg/kg,NA
407,3017921025,2000,mg/kg,NA
408,3017921024,2000,mg/kg,NA
409,3017921023,2000,mg/kg,NA
410,3017921022,1000,mg/kg,NA
411,3017921021,1000,mg/kg,NA
412,3017921020,1000,mg/kg,NA
413,3017921019,300,mg/kg,NA
414,3017921018,300,mg/kg,NA
415,3017921017,300,mg/kg,NA
416,3017921016,0,mg/kg,NA
417,3017921015,0,mg/kg,NA
418,3017921014,0,mg/kg,NA
419,3017921013,2000,mg/kg,NA
420,3017921012,2000,mg/kg,NA
421,3017921011,2000,mg/kg,NA
422,3017921010,1000,mg/kg,NA
423,3017921009,1000,mg/kg,NA
424,3017921008,1000,mg/kg,NA
425,3017921007,300,mg/kg,NA
426,3017921006,300,mg/kg,NA
427,3017921005,300,mg/kg,NA
428,3017921004,0,mg/kg,NA
429,3017921003,0,mg/kg,NA
430,3017921002,0,mg/kg,NA
431,3017921001,2000,mg/kg,NA
432,3017920030,2000,mg/kg,NA
433,3017920029,2000,mg/kg,NA
434,3017920028,1000,mg/kg,NA
435,3017920027,1000,mg/kg,NA
436,3017920026,1000,mg/kg,NA
437,3017920025,300,mg/kg,NA
438,3017920024,300,mg/kg,NA
439,3017920023,300,mg/kg,NA
440,3017920022,0,mg/kg,NA
441,3017920021,0,mg/kg,NA
442,3017920020,0,mg/kg,NA
443,3017920019,10,mg/kg,NA
444,3017920018,10,mg/kg,NA
445,3017920017,10,mg/kg,NA
446,3017920016,10,mg/kg,NA
447,3017920015,10,mg/kg,NA
448,3017920014,3,mg/kg,NA
449,3017920013,3,mg/kg,NA
450,3017920012,3,mg/kg,NA
451,3017920011,1,mg/kg,NA
452,3017920010,1,mg/kg,NA
453,3017920009,1,mg/kg,NA
454,3017920008,0,mg/kg,NA
455,3017920007,0,mg/kg,NA
456,3017920006,0,mg/kg,NA
457,3017919013,150,mg/kg,NA
458,3017919012,150,mg/kg,NA
459,3017919011,150,mg/kg,NA
460,3017919010,50,mg/kg,NA
461,3017919009,50,mg/kg,NA
462,3017919008,50,mg/kg,NA
463,3017919007,15,mg/kg,NA
464,3017919006,15,mg/kg,NA
465,3017919005,15,mg/kg,NA
466,3017919004,0,mg/kg,NA
467,3017919003,0,mg/kg,NA
468,3017919002,0,mg/kg,NA
469,3017918025,150,mg/kg,NA
470,3017918024,150,mg/kg,NA
471,3017918023,150,mg/kg,NA
472,3017918022,50,mg/kg,NA
473,3017918021,50,mg/kg,NA
474,3017918020,50,mg/kg,NA
475,3017918019,15,mg/kg,NA
476,3017918018,15,mg/kg,NA
477,3017918017,15,mg/kg,NA
478,3017918016,0,mg/kg,NA
479,3017918015,0,mg/kg,NA
480,3017918014,0,mg/kg,NA
481,3017918013,0,mg/kg,NA
482,3017918012,150,mg/kg,NA
483,3017918011,150,mg/kg,NA
484,3017918010,150,mg/kg,NA
485,3017918009,50,mg/kg,NA
486,3017918008,50,mg/kg,NA
487,3017918007,50,mg/kg,NA
488,3017918006,15,mg/kg,NA
489,3017918005,15,mg/kg,NA
490,3017918004,15,mg/kg,NA
491,3017918003,0,mg/kg,NA
492,3017918002,0,mg/kg,NA
493,3017918001,0,mg/kg,NA
494,3017916028,100,mg/kg,NA
495,3017916027,100,mg/kg,NA
496,3017916026,100,mg/kg,NA
497,3017916025,30,mg/kg,NA
498,3017916024,30,mg/kg,NA
499,3017916023,30,mg/kg,NA
500,3017916022,10,mg/kg,NA
501,3017916021,10,mg/kg,NA
502,3017916020,10,mg/kg,NA
503,3017916019,0,mg/kg,NA
504,3017916018,0,mg/kg,NA
505,3017916017,100,mg/kg,NA
506,3017916016,100,mg/kg,NA
